CYCLE, EVENT_NAME, CACHE_NAME, ADDR, IP, CACHE_HIT, TYPE
2902,CACHE_OPERATE,cpu0_L2C,123893388,4201062,0,LOAD
2902,PREFETCH_SUCCESS,cpu0_L2C,123893393,0,0,0
2903,PREFETCH_SUCCESS,cpu0_L2C,123893394,0,0,0
2904,PREFETCH_SUCCESS,cpu0_L2C,123893395,0,0,0
2905,PREFETCH_SUCCESS,cpu0_L2C,123893396,0,0,0
2906,PREFETCH_SUCCESS,cpu0_L2C,123893397,0,0,0
2907,PREFETCH_SUCCESS,cpu0_L2C,123893398,0,0,0
2908,PREFETCH_SUCCESS,cpu0_L2C,123893399,0,0,0
2911,CACHE_OPERATE,cpu0_L2C,48234770,4201071,1,LOAD
2911,PREFETCH_SUCCESS,cpu0_L2C,48234775,0,0,0
2912,CACHE_OPERATE,cpu0_L2C,26079058,4201094,0,LOAD
2912,PREFETCH_SUCCESS,cpu0_L2C,26079063,0,0,0
2913,CACHE_OPERATE,cpu0_L2C,87673150,4201099,0,LOAD
2914,CACHE_OPERATE,cpu0_L2C,52174354,4201107,1,LOAD
2915,CACHE_OPERATE,cpu0_L2C,5746295,4201112,0,LOAD
2915,PREFETCH_SUCCESS,cpu0_L2C,5746300,0,0,0
2916,PREFETCH_SUCCESS,cpu0_L2C,5746301,0,0,0
2917,PREFETCH_SUCCESS,cpu0_L2C,5746302,0,0,0
2918,PREFETCH_SUCCESS,cpu0_L2C,5746303,0,0,0
3322,CACHE_OPERATE,cpu0_L2C,102137171,4201008,0,LOAD
3322,PREFETCH_SUCCESS,cpu0_L2C,102137176,0,0,0
3323,PREFETCH_SUCCESS,cpu0_L2C,102137177,0,0,0
3324,PREFETCH_SUCCESS,cpu0_L2C,102137178,0,0,0
3325,PREFETCH_SUCCESS,cpu0_L2C,102137179,0,0,0
3326,PREFETCH_SUCCESS,cpu0_L2C,102137180,0,0,0
3327,PREFETCH_SUCCESS,cpu0_L2C,102137181,0,0,0
3328,PREFETCH_SUCCESS,cpu0_L2C,102137182,0,0,0
3332,CACHE_OPERATE,cpu0_L2C,111930899,4201020,0,LOAD
3332,PREFETCH_SUCCESS,cpu0_L2C,111930904,0,0,0
3333,CACHE_OPERATE,cpu0_L2C,78007571,4201044,0,LOAD
3333,PREFETCH_SUCCESS,cpu0_L2C,78007576,0,0,0
3334,CACHE_OPERATE,cpu0_L2C,17681811,4201057,1,LOAD
3334,PREFETCH_SUCCESS,cpu0_L2C,17681816,0,0,0
3335,CACHE_OPERATE,cpu0_L2C,48234771,4201071,1,LOAD
3335,PREFETCH_SUCCESS,cpu0_L2C,48234776,0,0,0
3336,CACHE_OPERATE,cpu0_L2C,26079059,4201094,0,LOAD
3336,PREFETCH_SUCCESS,cpu0_L2C,26079064,0,0,0
3337,CACHE_OPERATE,cpu0_L2C,52174355,4201107,1,LOAD
3337,PREFETCH_SUCCESS,cpu0_L2C,52174360,0,0,0
3338,PREFETCH_SUCCESS,cpu0_L2C,52174361,0,0,0
3339,PREFETCH_SUCCESS,cpu0_L2C,52174362,0,0,0
3340,PREFETCH_SUCCESS,cpu0_L2C,52174363,0,0,0
3341,PREFETCH_SUCCESS,cpu0_L2C,52174364,0,0,0
3342,PREFETCH_SUCCESS,cpu0_L2C,52174365,0,0,0
3343,PREFETCH_SUCCESS,cpu0_L2C,52174366,0,0,0
3348,CACHE_OPERATE,cpu0_L2C,102137172,4201008,0,LOAD
3348,PREFETCH_SUCCESS,cpu0_L2C,102137177,0,0,0
3349,PREFETCH_SUCCESS,cpu0_L2C,102137178,0,0,0
3350,PREFETCH_SUCCESS,cpu0_L2C,102137179,0,0,0
3351,PREFETCH_SUCCESS,cpu0_L2C,102137180,0,0,0
3352,PREFETCH_SUCCESS,cpu0_L2C,102137181,0,0,0
3353,PREFETCH_SUCCESS,cpu0_L2C,102137182,0,0,0
3354,PREFETCH_SUCCESS,cpu0_L2C,102137183,0,0,0
3356,CACHE_OPERATE,cpu0_L2C,111930900,4201020,0,LOAD
3357,CACHE_OPERATE,cpu0_L2C,78007572,4201044,0,LOAD
3358,CACHE_OPERATE,cpu0_L2C,17681812,4201057,1,LOAD
3358,PREFETCH_SUCCESS,cpu0_L2C,17681817,0,0,0
3359,CACHE_OPERATE,cpu0_L2C,48234772,4201071,1,LOAD
3359,PREFETCH_SUCCESS,cpu0_L2C,17681818,0,0,0
